Customer Name,Site Name,Customer Code,Date,Transaction type,Process type,Quantity,ID Processed,Total Notes,Total Coins,Total Cash,€ 500,€ 200,€ 100,€ 50,€ 20,€ 10,€ 5,€ 2.00,€ 1.00,€ 0.50,€ 0.20,€ 0.10,€ 0.05,€ 0.02,€ 0.01,Mixed Coin,BIC,IBAN,PAYDAY
DSG Retail Ireland Limited,Currys Carlow SC,1334,09/02/2016,CASH PROCESSED,Standard Processing,1,757017137327,"17,680.00",0.00,"17,680.00",0.00,0.00,0.00,"16,000.00","1,680.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Currys Carlow SC,1334,15/02/2016,CASH PROCESSED,Standard Processing,1,757017137310,"11,650.00",0.00,"11,650.00",0.00,0.00,0.00,"10,550.00","1,100.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"Currys Donegal, Letterkenny Retail Park",1322,09/02/2016,CASH PROCESSED,Standard Processing,1,757022490486,"29,990.00",0.00,"29,990.00",500.00,600.00,200.00,"25,950.00","2,740.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"Currys Donegal, Letterkenny Retail Park",1322,16/02/2016,CASH PROCESSED,Standard Processing,1,757022490493,"28,170.00",0.00,"28,170.00",500.00,0.00,100.00,"23,950.00","3,620.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"Currys Galway, Headford Road, Wellpark Retail Park",1323,04/02/2016,CASH PROCESSED,Standard Processing,1,757027898188,"11,990.00",0.00,"11,990.00",500.00,0.00,700.00,"9,850.00",940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"Currys Galway, Headford Road, Wellpark Retail Park",1323,06/02/2016,CASH PROCESSED,Standard Processing,1,757027898195,"10,080.00",0.00,"10,080.00",0.00,0.00,200.00,"8,400.00","1,480.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"Currys Galway, Headford Road, Wellpark Retail Park",1323,09/02/2016,CASH PROCESSED,Standard Processing,1,757027898225,"29,920.00",0.00,"29,920.00",0.00,"1,600.00",0.00,"27,200.00","1,120.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"Currys Galway, Headford Road, Wellpark Retail Park",1323,11/02/2016,CASH PROCESSED,Standard Processing,1,757027898201,"10,290.00",0.00,"10,290.00",0.00,0.00,100.00,"9,650.00",540.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"Currys Galway, Headford Road, Wellpark Retail Park",1323,13/02/2016,CASH PROCESSED,Standard Processing,1,757027898218,"16,320.00",0.00,"16,320.00",0.00,0.00,200.00,"15,200.00",920.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"Currys Galway, Headford Road, Wellpark Retail Park",1323,16/02/2016,CASH PROCESSED,Standard Processing,1,757027897235,"25,300.00",0.00,"25,300.00",0.00,0.00,"1,300.00","22,800.00","1,200.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Currys Liffey Valley Retail Park,1335,10/02/2016,CASH PROCESSED,Standard Processing,1,757022489367,"21,375.00",0.00,"21,375.00",0.00,0.00,500.00,"18,800.00","2,060.00",10.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Currys Liffey Valley Retail Park,1335,16/02/2016,CASH PROCESSED,Standard Processing,1,757022489381,"19,850.00",0.00,"19,850.00",0.00,0.00,0.00,"18,850.00","1,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Currys Liffey Valley SC,1336,09/02/2016,CASH PROCESSED,Standard Processing,1,757027068116,"10,220.00",0.00,"10,220.00",0.00,0.00,400.00,"7,900.00","1,920.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"Currys Limerick, Parkway SC",1325,11/02/2016,CASH PROCESSED,Standard Processing,1,757026112810,"21,060.00",0.00,"21,060.00",0.00,0.00,0.00,"19,400.00","1,660.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"Currys Limerick, Parkway SC",1325,17/02/2016,CASH PROCESSED,Standard Processing,1,757026112803,"15,460.00",0.00,"15,460.00",0.00,0.00,200.00,"13,800.00","1,460.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"Currys Limerick, William Street",1326,11/02/2016,CASH PROCESSED,Standard Processing,1,757021452980,"7,160.00",0.00,"7,160.00",0.00,0.00,100.00,"5,800.00","1,260.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"Currys Limerick, William Street",1326,17/02/2016,CASH PROCESSED,Standard Processing,1,757021452928,"9,960.00",0.00,"9,960.00",0.00,0.00,0.00,"9,100.00",860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,"Currys Louth, Dundalk",1327,09/02/2016,CASH PROCESSED,Standard Processing,1,757027106184,"10,070.00",0.00,"10,070.00",0.00,0.00,0.00,"8,450.00","1,620.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
DSG Retail Ireland Limited,Currys Mahon Point,1337,04/02/2016,CASH PROCESSED,Standard Processing,1,757027295093,"15,900.00",0.00,"15,900.00",0.00,0.00,0.00,"14,800.00","1,100.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UB,,3
